FECHA,casos_confirmados,Prediccion_Lineal,Error_Lineal,Prediccion_Polinomica,Error_Polinomica
2024-09-05,3222,2504.5733915474766,717.4266084525234,2765.9525332566664,456.04746674333364
2024-09-06,3414,2515.59736909432,898.4026309056799,2790.2307763407944,623.7692236592056
2024-09-07,3520,2526.6213466411637,993.3786533588363,2814.634652273617,705.3653477263829
2024-09-08,4018,2537.645324188007,1480.3546758119928,2839.1641610551346,1178.8358389448654
2024-09-09,4580,2548.6693017348507,2031.3306982651493,2863.8193026853464,1716.1806973146536
2024-09-10,3836,2559.6932792816942,1276.3067207183058,2888.600077164253,947.399922835747
2024-09-11,2743,2570.717256828537,172.28274317146315,2913.5064844918543,170.50648449185428
2024-09-12,2686,2581.7412343753804,104.25876562461963,2938.53852466815,252.53852466814988
2024-09-13,2839,2592.765211922224,246.2347880777761,2963.6961976931407,124.69619769314068
2024-09-14,3058,2603.7891894690674,454.2108105309326,2988.9795035668258,69.02049643317423
2024-09-15,3549,2614.813167015911,934.186832984089,3014.3884422892056,534.6115577107944
2024-09-16,3865,2625.8371445627545,1239.1628554372455,3039.9230138602798,825.0769861397202
2024-09-17,4179,2636.861122109598,1542.138877890402,3065.583218280049,1113.416781719951
2024-09-18,3868,2647.8850996564406,1220.1149003435594,3091.3690555485127,776.6309444514873
2024-09-19,3898,2658.909077203284,1239.0909227967159,3117.280525665671,780.7194743343289
2024-09-20,4063,2669.9330547501277,1393.0669452498723,3143.3176286315243,919.6823713684757
2024-09-21,3596,2680.957032296971,915.0429677030288,3169.480364446072,426.51963555392786
2024-09-22,4236,2691.9810098438147,1544.0189901561853,3195.7687331093143,1040.2312668906857
2024-09-23,4599,2703.0049873906582,1895.9950126093418,3222.1827346212513,1376.8172653787487
2024-09-24,3790,2714.0289649375018,1075.9710350624982,3248.7223689818825,541.2776310181175
2024-09-25,3439,2725.0529424843444,713.9470575156556,3275.387636191209,163.6123638087911
2024-09-26,3088,2736.076920031188,351.9230799688121,3302.1785362492296,214.17853624922964
2024-09-27,2895,2747.1008975780314,147.89910242196856,3329.0950691559456,434.09506915594557
2024-09-28,2959,2758.124875124875,200.87512487512504,3356.137234911356,397.1372349113558
2024-09-29,3382,2769.1488526717185,612.8511473282815,3383.3050335154603,1.305033515460309
2024-09-30,3665,2780.172830218562,884.827169781438,3410.59846496826,254.40153503173997
2024-10-01,3307,2791.1968077654055,515.8031922345945,3438.0175292697536,131.0175292697536
2024-10-02,3061,2802.220785312248,258.77921468775185,3465.5622264199424,404.56222641994236
2024-10-03,2934,2813.2447628590917,120.75523714090832,3493.232556418826,559.2325564188259
2024-10-04,3088,2824.268740405935,263.7312595940648,3521.028519266404,433.02851926640415
2024-10-05,3367,2835.2927179527787,531.7072820472213,3548.9501149626767,181.9501149626767
2024-10-06,3547,2846.3166954996223,700.6833045003777,3576.997343507644,29.99734350764402
2024-10-07,3445,2857.340673046466,587.6593269535342,3605.170204901306,160.17020490130608
2024-10-08,2621,2868.3646505933093,247.3646505933093,3633.4686991436624,1012.4686991436624
2024-10-09,1719,2879.388628140153,1160.3886281401528,3661.8928262347135,1942.8928262347135
2024-10-10,869,2890.4126056869954,2021.4126056869954,3690.4425861744594,2821.4425861744594
2024-10-11,176,2901.436583233839,2725.436583233839,3719.1179789629,3543.1179789629
2024-10-12,5,2912.4605607806825,2907.4605607806825,3747.9190046000354,3742.9190046000354
2024-10-29,1,2923.484538327526,2922.484538327526,3776.845663085865,3775.845663085865
